Finca,Dias,T,Puntaje,pH,Brix,Acidez_T,cafeina,ACQA,CCQA,BCQA,Polifenoles,DPPH,ABTS,Altitud
Corpachi,3,20,86.63,5.0133,1.2000,0.0155,676.8915,412.7191,692.0006,397.6602,2605.2017,9.5583,9.2720,1375.0000
Corpachi,5,20,86.88,5.0233,1.2700,0.0152,639.2415,432.7061,751.4449,431.4551,2655.1283,8.1167,8.9226,1375.0000
Corpachi,7,20,87.19,4.9533,1.0700,0.0152,613.4221,395.6890,714.3046,401.5600,2419.1100,8.3417,9.4289,1375.0000
Corpachi,3,24,86.28,5.0767,1.2000,0.0132,705.0421,426.3423,796.3562,452.5129,2523.5017,7.9167,9.8509,1375.0000
Corpachi,5,24,87.09,5.0267,2.0000,0.0125,665.7463,347.7119,530.6221,316.1868,2512.1550,8.1917,9.6826,1375.0000
Corpachi,7,24,85.79,4.9767,1.9300,0.0125,684.4820,432.7155,867.3671,471.4100,2646.0500,8.4083,9.3697,1375.0000
Corpachi,3,30,86.32,5.0133,2.0000,0.0139,737.6643,490.8567,982.9008,544.0083,2861.3548,8.2583,8.8483,1375.0000
Corpachi,5,30,86.21,4.9008,1.9333,0.0138,644.5686,444.3011,887.8658,493.3681,2514.4267,7.4500,9.0740,1375.0000
Corpachi,7,30,86.61,4.9733,2.0000,0.0149,665.9543,794.6219,613.9056,563.8531,2394.1500,6.9417,9.5985,1375.0000
Lamastus,3,24,88.56,5.1267,1.6667,0.0149,642.1583,358.4777,791.6082,400.7497,2398.6883,6.5333,11.4856,1725.0000
Lamastus,5,24,89.22,5.1200,1.7333,0.0149,687.7630,387.1427,839.1843,435.6342,2600.6633,8.9500,10.4246,1725.0000
Lamastus,7,24,88.92,5.1333,1.7333,0.0176,754.7001,455.3662,1011.9601,515.0036,2859.3717,9.0917,12.1595,1725.0000
Lamastus,3,17.4,88.67,5.1567,1.5333,0.0139,593.4005,337.9377,818.8040,388.6442,2162.6717,7.8750,10.4418,1725.0000
Lamastus,5,17.4,89.06,5.1167,1.6000,0.0128,666.6153,365.9894,814.6953,422.3483,2385.0717,8.9667,10.5256,1725.0000
Lamastus,7,17.4,88.78,5.1400,1.8667,0.0152,698.9411,424.4354,934.7048,469.6386,2564.3517,8.4833,10.6580,1725.0000
Lamastus,3,30,89.17,5.1367,1.6667,0.0135,707.1914,395.0926,861.2222,445.8483,2416.8433,7.2250,10.2875,1725.0000
Lamastus,5,30,89.06,5.1267,1.8000,0.0179,728.4771,445.4386,1021.1566,483.3067,2301.1033,8.4417,11.0283,1725.0000
Lamastus,7,30,89.22,5.1367,1.6000,0.0166,663.1918,427.2639,970.3016,492.1124,2455.4217,8.1667,9.8286,1725.0000
Nuguo,3,24,88.64,4.8033,1.6667,0.0142,637.0126,962.5415,1438.7022,799.8410,2382.8033,7.2750,8.8026,1850.0000
Nuguo,5,24,88.83,4.7171,1.4000,0.0146,545.7977,722.3411,1273.0713,668.2987,2051.4717,6.4167,8.0348,1850.0000
Nuguo,7,24,88.89,4.8100,1.4667,0.0135,557.9616,545.4887,1150.4129,579.1414,2115.0150,6.3667,8.2127,1850.0000
Nuguo,3,16.8,88.75,4.8133,2.0000,0.0163,713.2795,1079.2788,2364.1469,1154.8671,2802.6383,8.4750,11.7035,1850.0000
Nuguo,5,16.8,88.64,4.7933,1.6000,0.0163,603.5466,936.4135,1707.4406,881.4282,2357.8383,6.5333,9.8653,1850.0000
Nuguo,7,16.8,88.86,4.8167,1.6000,0.0163,638.5900,822.7184,1955.6328,965.0719,2559.8133,6.6417,9.6564,1850.0000
Nuguo,3,30,88.83,4.7567,1.0000,0.0119,496.6943,665.4603,1093.1416,584.1859,1972.0433,6.1917,8.5631,1850.0000
Nuguo,5,30,89.36,4.7733,1.2000,0.0145,621.4622,352.6826,808.2782,399.2524,2257.9833,7.3583,9.5212,1850.0000
Nuguo,7,30,89.44,4.7733,1.0000,0.0138,549.8571,335.5529,703.9463,363.8275,1997.0050,6.9833,7.8758,1850.0000
Hartman,3,22,89.44,5.123333333,1.466666667,0.012534755,616.1911989,334.2410466,778.5748254,383.9267146,2112.743333,6.166666667,11.19802808,1800
Hartman,5,22,88.17,5.146666667,1.733333333,0.013523579,698.7151107,340.8356884,777.0782229,393.8884419,2169.478333,7.083333333,11.36705585,1800
Hartman,7,22,89.31,5.123333333,1.6,0.016248531,660.3539657,312.9144514,709.6744964,351.0741733,2455.421667,7.766666667,12.57137874,1800
Hartman,3,24,89.06,5.106666667,1.533333333,0.013184228,634.0288871,349.6764137,805.8313526,399.1329334,2407.765,7.825,11.34592738,1800
Hartman,5,24,89.14,5.113333333,1.466666667,0.016243685,638.4986487,339.9475829,787.0172718,383.5200864,2382.8,7.475,11.89526764,1800
Hartman,7,24,88.86,5.12,1.533333333,0.014425705,602.50657,393.0651014,861.9406552,425.5309992,2267.063333,7.091666667,10.51735275,1800
Hartman,3,30,88.81,5.126666667,1.6,0.014885516,634.9192528,382.7101565,832.5572977,432.7402648,2498.54,8,9.151861039,1800
Hartman,5,30,88.58,5.113333333,1.466666667,0.012840315,565.5702133,342.1962869,799.2656299,390.452999,2205.788333,5.208333333,8.752717308,1800
Hartman,7,30,88.72,5.11,1.8,0.014872845,652.214816,356.7955534,824.1284508,402.3844995,2484.923333,6.058333333,8.689694613,1800
